city,Chennai Super Kings,Deccan Chargers,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
Abu Dhabi,1,0,0,0,2,0,1,0,0,3,0,0,0
Ahmedabad,0,0,1,0,1,0,0,1,0,7,0,1,1
Bangalore,4,1,3,0,4,0,4,6,0,3,0,29,2
Bloemfontein,0,0,1,0,1,0,0,0,0,0,0,0,0
Cape Town,0,2,1,0,1,0,0,1,0,1,0,1,0
Centurion,2,2,2,0,0,0,1,1,0,2,0,2,0
Chandigarh,3,0,1,1,20,0,3,4,1,3,0,3,3
Chennai,33,2,2,0,2,0,2,3,1,1,0,2,0
Cuttack,0,3,0,0,1,0,3,0,0,0,0,0,0
Delhi,5,2,19,1,4,1,4,2,1,4,1,4,4
Dharamsala,1,2,1,0,5,0,0,0,0,0,0,0,0
Durban,1,2,3,0,2,0,2,0,0,2,0,3,0
East London,1,0,1,0,0,0,0,1,0,0,0,0,0
Hyderabad,2,3,4,0,4,0,4,4,1,2,1,2,14
Indore,0,0,0,0,1,1,0,0,0,0,0,0,0
Jaipur,2,0,1,0,0,0,1,2,0,24,0,3,0
Johannesburg,1,2,1,0,1,0,0,0,0,0,0,3,0
Kanpur,0,0,0,2,0,0,0,0,0,0,0,0,0
Kimberley,1,1,0,0,1,0,0,0,0,0,0,0,0
Kochi,0,1,1,0,0,2,0,0,0,0,0,1,0
Kolkata,4,0,1,1,2,1,33,8,0,1,0,3,0
Mumbai,8,3,2,1,4,1,3,40,3,5,1,5,1
Nagpur,0,2,0,0,0,0,0,0,0,1,0,0,0
Port Elizabeth,2,0,1,0,1,0,0,2,0,1,0,0,0
Pune,1,1,2,1,1,0,5,3,4,2,0,4,1
Raipur,0,0,4,0,0,0,0,0,0,0,0,1,1
Rajkot,0,0,1,2,1,0,0,0,0,0,0,0,1
Ranchi,3,0,0,0,0,0,1,0,1,0,0,1,1
Sharjah,1,0,1,0,2,0,1,0,0,0,0,1,0
Visakhapatnam,1,0,1,0,1,0,0,2,0,1,2,0,3
